ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600519.SH,20250929,1382.5628,1411.9645,1378.3557,1403.1949,1435.0,25.86,1.8021,53684.03,7798434.586,0.960527
600519.SH,20250930,1402.3689,1403.0989,1383.1583,1386.9908,1460.86,-16.87,-1.1548,39363.62,5687474.876,0.960527
600519.SH,20251009,1379.3162,1382.5628,1363.9478,1380.0654,1443.99,-7.21,-0.4993,54918.12,7845448.947,0.960527
600519.SH,20251010,1380.8531,1383.1007,1371.1517,1373.5531,1436.78,-6.78,-0.4719,36001.44,5157459.262,0.960527
600519.SH,20251013,1359.8175,1366.6853,1359.2604,1363.1794,1430.0,-10.8,-0.7552,46068.8,6533147.458,0.960527
600519.SH,20251014,1373.5435,1406.211,1373.5435,1393.7433,1419.2,31.82,2.2421,66672.33,9639484.605,0.960527
600519.SH,20251015,1393.7049,1405.2504,1388.0378,1404.2899,1451.02,10.98,0.7567,42785.4,6233407.482,0.960527
600519.SH,20251016,1404.2131,1426.334,1401.2931,1426.2956,1462.0,22.91,1.567,45730.15,6749162.949,0.960527
600519.SH,20251017,1424.557,1429.2636,1396.6345,1397.5662,1484.91,-29.91,-2.0143,38085.89,5594724.9,0.960527
600519.SH,20251020,1397.5662,1411.4939,1397.451,1400.3806,1455.0,2.93,0.2014,25949.88,3793283.759,0.960527
600519.SH,20251021,1401.4083,1411.9165,1398.0465,1404.5397,1457.93,4.33,0.297,25442.67,3727984.13,0.960527
600519.SH,20251022,1404.3668,1407.8727,1398.5268,1401.1202,1462.26,-3.56,-0.2435,18194.92,2657486.636,0.960527
600519.SH,20251023,1397.5662,1410.8215,1390.0741,1410.0339,1458.7,9.28,0.6362,29322.35,4274652.09,0.960527
600519.SH,20251024,1410.005,1420.5036,1392.1296,1392.7636,1467.98,-17.98,-1.2248,38225.83,5578603.148,0.960527
600519.SH,20251027,1383.1583,1395.1553,1379.3066,1383.5521,1450.0,-9.59,-0.6614,37102.39,5352667.152,0.960527
600519.SH,20251028,1385.0794,1393.9162,1384.2149,1387.961,1440.41,4.59,0.3187,27124.33,3923817.14,0.960527
600519.SH,20251029,1383.1775,1389.4498,1373.5915,1375.3781,1445.0,-13.1,-0.9066,33937.11,4868780.319,0.960527
600519.SH,20251030,1365.6864,1379.9214,1365.6864,1370.4217,1431.9,-5.16,-0.3604,47456.1,6768821.311,0.960527
600519.SH,20251031,1365.8689,1379.297,1364.0535,1373.5627,1426.74,3.27,0.2292,35693.77,5109623.861,0.960527
600519.SH,20251103,1374.5136,1390.8425,1364.0439,1378.3557,1430.01,4.99,0.3489,34547.66,4945310.83,0.960527
600519.SH,20251104,1378.4517,1379.1049,1367.5786,1372.5925,1435.0,-6.0,-0.4181,26565.72,3793892.903,0.960527
600519.SH,20251105,1369.6053,1374.504,1363.9574,1364.0246,1429.0,-8.92,-0.6242,34475.27,4908475.373,0.960527
600519.SH,20251106,1373.5531,1384.5511,1373.5435,1378.4806,1420.08,15.05,1.0598,38347.82,5505960.415,0.960527
600519.SH,20251107,1378.4614,1382.947,1374.6192,1376.7516,1435.13,-1.8,-0.1254,18861.39,2704995.856,0.960527
600519.SH,20251110,1378.3557,1405.9132,1378.3365,1404.5781,1433.33,28.97,2.0212,49451.54,7181246.441,0.960527
600519.SH,20251111,1404.2899,1404.4628,1389.882,1401.3987,1462.3,-3.31,-0.2264,26691.56,3882776.772,0.960527
600519.SH,20251112,1402.3497,1420.0041,1401.61,1407.3156,1458.99,6.16,0.4222,32992.1,4849073.051,0.960527
600519.SH,20251113,1404.4052,1415.4128,1400.4478,1412.3391,1465.15,5.23,0.357,31179.23,4569178.269,0.960527
600519.SH,20251114,1411.9741,1420.5708,1398.8149,1399.1031,1470.38,-13.78,-0.9372,27473.06,4031007.106,0.960527
600519.SH,20251117,1396.6057,1414.8557,1388.7198,1412.9347,1456.6,14.4,0.9886,34462.21,5035780.027,0.960527
600519.SH,20251118,1412.6465,1427.4098,1411.0136,1417.7373,1471.0,5.0,0.3399,34204.78,5055675.474,0.960527
600519.SH,20251119,1415.8162,1421.1279,1411.9357,1412.9443,1476.0,-4.99,-0.3381,22045.37,3249449.214,0.960527
600519.SH,20251120,1413.8952,1421.4833,1407.2003,1409.1982,1471.01,-3.9,-0.2651,24002.32,3531653.943,0.960527
600519.SH,20251121,1412.4544,1421.5794,1398.5268,1408.7083,1467.11,-0.51,-0.0348,42607.2,6259873.433,0.960527
600519.SH,20251124,1409.0925,1412.9347,1393.849,1394.6846,1466.6,-14.6,-0.9955,33607.44,4901903.705,0.960527
600519.SH,20251125,1400.4478,1400.4478,1387.4807,1387.6248,1452.0,-7.35,-0.5062,28440.69,4119930.011,0.960527
600519.SH,20251126,1391.6878,1396.1158,1386.597,1391.9471,1444.65,4.5,0.3115,20306.16,2938818.095,0.960527
600519.SH,20251127,1392.2833,1392.7636,1382.2362,1390.1702,1449.15,-1.85,-0.1277,22286.89,3216797.187,0.960527
600519.SH,20251128,1389.4018,1398.0465,1386.0399,1393.2439,1447.3,3.2,0.2211,23211.21,3366696.622,0.960527
600519.SH,20251201,1393.7241,1404.5493,1385.0794,1390.8425,1450.5,-2.5,-0.1724,27333.42,3961994.999,0.960527
600519.SH,20251202,1390.8425,1394.6078,1378.3749,1379.345,1448.0,-11.97,-0.8267,25047.26,3607543.825,0.960527
600519.SH,20251203,1379.1337,1379.2874,1371.632,1372.6886,1436.03,-6.93,-0.4826,23572.79,3370080.066,0.960527
600519.SH,20251204,1372.6886,1375.9544,1362.3917,1367.7707,1429.1,-5.12,-0.3583,29075.39,4134921.902,0.960527
600519.SH,20251205,1367.7707,1376.5211,1363.4675,1373.5627,1423.98,6.03,0.4235,25401.66,3622681.597,0.960527
600519.SH,20251208,1372.7846,1379.9598,1362.0267,1362.2381,1430.01,-11.79,-0.8245,33602.8,4789155.77,0.960527
600519.SH,20251209,1362.2477,1364.9083,1344.7853,1345.7074,1418.22,-17.21,-1.2135,42634.43,5995722.121,0.960527
600519.SH,20251210,1344.7373,1347.4267,1328.5812,1347.4267,1401.01,1.79,0.1278,33133.47,4625906.139,0.960527
600519.SH,20251211,1351.1344,1356.254,1346.2261,1356.254,1402.8,9.19,0.6551,22385.01,3149974.074,0.960527
600519.SH,20251212,1362.0267,1368.7504,1357.7716,1364.5721,1411.99,8.66,0.6133,37159.19,5273563.274,0.960527
600519.SH,20251215,1382.7645,1383.1487,1369.2979,1369.711,1420.65,5.35,0.3766,33358.79,4774362.06,0.960527
600519.SH,20251216,1369.9031,1372.3812,1359.1452,1365.8689,1426.0,-4.0,-0.2805,23963.67,3403139.194,0.960527
600519.SH,20251217,1368.7504,1383.1007,1361.7194,1376.5307,1422.0,11.1,0.7806,31382.49,4489482.138,0.960527
600519.SH,20251218,1376.9149,1382.0825,1369.8166,1374.5136,1433.1,-2.1,-0.1465,17829.95,2551177.659,0.960527
600519.SH,20251219,1377.4052,1379.7985,1368.623,1377.4052,1407.04,2.96,0.2104,26508.68,3733028.357,0.976883
600519.SH,20251222,1377.4052,1381.4495,1374.0642,1375.7054,1410.0,-1.74,-0.1234,20425.65,2881636.856,0.976883
600519.SH,20251223,1375.7054,1380.2674,1364.8913,1375.3146,1408.26,-0.4,-0.0284,24506.81,3445377.032,0.976883
600519.SH,20251224,1372.511,1373.8493,1367.6363,1368.5155,1407.86,-6.96,-0.4944,25186.69,3533253.565,0.976883
600519.SH,20251225,1372.5207,1386.666,1368.9844,1381.4788,1400.9,13.27,0.9472,23386.21,3299572.096,0.976883
600519.SH,20251226,1381.4788,1386.3339,1377.4052,1381.4397,1414.17,-0.04,-0.0028,17802.99,2520605.635,0.976883
600519.SH,20251229,1381.4397,1381.4397,1368.6132,1369.5901,1414.13,-12.13,-0.8578,26308.1,3694660.107,0.976883
600519.SH,20251230,1368.6132,1369.4924,1353.96,1357.594,1402.0,-12.28,-0.8759,33791.94,4702489.813,0.976883
600519.SH,20251231,1357.8675,1361.775,1345.3341,1345.3439,1389.72,-12.54,-0.9023,34765.63,4799456.452,0.976883
600519.SH,20260105,1352.9831,1398.7794,1352.9831,1393.0353,1377.18,48.82,3.5449,70949.42,10018086.372,0.976883
600519.SH,20260106,1399.4339,1403.7517,1383.7842,1394.9988,1426.0,2.01,0.141,39586.18,5649710.153,0.976883
600519.SH,20260107,1399.7562,1401.8272,1387.3694,1390.4563,1428.01,-4.65,-0.3256,29683.8,4234255.286,0.976883
600519.SH,20260108,1390.427,1390.4563,1375.5882,1379.652,1423.36,-11.06,-0.777,29134.54,4117925.041,0.976883
600519.SH,20260109,1384.2433,1395.5752,1383.2762,1386.2948,1412.3,6.8,0.4815,29847.74,4243865.418,0.976883
600519.SH,20260112,1386.2948,1397.9197,1384.341,1390.3293,1419.1,4.13,0.291,36082.66,5135636.033,0.976883
600519.SH,20260113,1393.807,1396.4739,1376.4185,1378.382,1423.23,-12.23,-0.8593,39168.66,5555633.779,0.976883
600519.SH,20260114,1378.382,1389.372,1363.9046,1365.6923,1411.0,-12.99,-0.9206,51757.97,7285041.159,0.976883
600519.SH,20260115,1363.7483,1370.4009,1356.4803,1356.7832,1398.01,-9.12,-0.6524,40907.14,5698739.671,0.976883
600519.SH,20260116,1362.7519,1365.1941,1348.0987,1350.0524,1388.89,-6.89,-0.4961,55120.68,7643061.998,0.976883
600519.SH,20260119,1349.9547,1355.4155,1343.2143,1344.1911,1382.0,-6.0,-0.4342,42286.4,5833745.442,0.976883
600519.SH,20260120,1347.6102,1349.6421,1340.3325,1341.7978,1376.0,-2.45,-0.1781,36484.43,5021900.765,0.976883
600519.SH,20260121,1341.8075,1342.6281,1318.7922,1319.8277,1373.55,-22.49,-1.6374,64516.25,8775880.803,0.976883
600519.SH,20260122,1320.7557,1330.2803,1306.5616,1309.082,1351.06,-11.0,-0.8142,59010.89,7962441.434,0.976883
600519.SH,20260123,1309.121,1316.8384,1301.6674,1306.0927,1340.06,-3.06,-0.2283,61948.9,8301311.489,0.976883
600519.SH,20260126,1309.5216,1323.6766,1294.4873,1310.9771,1337.0,5.0,0.374,80166.06,10751225.525,0.976883
600519.SH,20260127,1313.8882,1322.4066,1307.0696,1311.9638,1342.0,1.01,0.0753,48415.96,6514513.216,0.976883
600519.SH,20260128,1311.9931,1315.5782,1291.4492,1293.0904,1343.01,-19.32,-1.4386,76218.01,10135019.524,0.976883
600519.SH,20260129,1304.1389,1411.5961,1298.3362,1404.4844,1323.69,114.03,8.6146,189534.4,26305591.086,0.976883
600519.SH,20260130,1401.8272,1401.8272,1368.6132,1368.6132,1437.72,-36.72,-2.554,94479.74,13366329.414,0.976883
600519.SH,20260202,1392.0584,1424.8621,1378.9877,1394.0122,1401.0,26.0,1.8558,85724.27,12312646.443,0.976883
600519.SH,20260203,1411.5961,1442.6707,1409.6716,1440.8244,1427.0,47.92,3.3581,86320.66,12628439.703,0.976883
600519.SH,20260204,1450.6714,1497.8255,1439.9257,1489.7467,1474.92,50.08,3.3954,109122.93,16444345.98,0.976883
600519.SH,20260205,1484.8623,1528.822,1479.9779,1519.0532,1525.0,30.0,1.9672,91622.74,14183456.476,0.976883
600519.SH,20260206,1519.0532,1531.7527,1471.0687,1479.9877,1555.0,-39.99,-2.5717,78965.38,12019878.669,0.976883
600519.SH,20260209,1482.9085,1507.2134,1478.5028,1489.7076,1515.01,9.95,0.6568,51168.46,7809067.705,0.976883
600519.SH,20260210,1489.7174,1489.7174,1461.9056,1470.0137,1524.96,-20.16,-1.322,39575.96,5953269.321,0.976883
600519.SH,20260211,1470.0137,1479.001,1461.4171,1469.5545,1504.8,-0.47,-0.0312,30928.46,4648360.03,0.976883
600519.SH,20260212,1465.52,1468.0795,1439.3005,1452.2344,1504.33,-17.73,-1.1786,46245.82,6874370.113,0.976883
600519.SH,20260213,1452.2344,1472.9443,1436.5847,1450.9645,1486.6,-1.3,-0.0874,41679.01,6216379.203,0.976883
600519.SH,20260224,1485.8392,1489.1606,1429.7661,1432.8921,1485.3,-18.5,-1.2455,41912.53,6198840.572,0.976883
600519.SH,20260225,1436.0182,1474.7613,1433.9472,1457.1774,1466.8,24.86,1.6948,36880.67,5490316.149,0.976883
600519.SH,20260226,1452.2344,1455.0576,1430.8114,1432.3158,1491.66,-25.45,-1.7062,32958.01,4855471.43,0.976883
600519.SH,20260227,1433.0777,1442.0846,1421.3844,1421.3844,1466.21,-11.19,-0.7632,32160.16,4697692.477,0.976883
600519.SH,20260302,1416.4805,1423.3187,1403.4489,1406.8191,1455.02,-14.91,-1.0247,35453.86,5115063.511,0.976883
600519.SH,20260303,1406.8093,1419.2841,1389.2548,1393.2209,1440.11,-13.92,-0.9666,45890.86,6565381.648,0.976883
600519.SH,20260304,1382.2896,1390.1046,1359.9092,1368.7891,1426.19,-25.01,-1.7536,48014.43,6743267.103,0.976883
600519.SH,20260305,1373.4976,1380.2967,1362.7519,1366.6985,1401.18,-2.14,-0.1527,30505.24,4276226.062,0.976883
600519.SH,20260306,1362.7519,1374.963,1355.9137,1369.5901,1399.04,2.96,0.2116,29154.15,4072328.833,0.976883
600519.SH,20260309,1357.8675,1372.4231,1351.2247,1364.7057,1402.0,-5.0,-0.3566,37441.62,5220095.639,0.976883
600519.SH,20260310,1372.4231,1376.907,1365.6826,1369.4729,1397.0,4.88,0.3493,24625.92,3457808.916,0.976883
600519.SH,20260311,1370.5572,1373.4879,1365.7021,1367.6363,1401.88,-1.88,-0.1341,24456.73,3425363.892,0.976883
