ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20250613,17.5309,17.6296,17.4224,17.5506,17.8,-0.01,-0.0562,332721.44,590775.706,0.986545
600031.SH,20250616,17.5309,17.6592,17.4618,17.5704,17.79,0.02,0.1124,339137.11,603938.878,0.986545
600031.SH,20250617,17.6493,17.9255,17.6394,17.7874,17.81,0.22,1.2353,462329.28,834199.896,0.986545
600031.SH,20250618,17.7677,17.8565,17.521,17.5408,18.03,-0.25,-1.3866,358979.91,641468.707,0.986545
600031.SH,20250619,17.5506,17.5704,17.1462,17.2053,17.78,-0.34,-1.9123,469443.76,822521.739,0.986545
600031.SH,20250620,17.2053,17.3435,17.087,17.2547,17.44,0.05,0.2867,222382.54,388409.768,0.986545
600031.SH,20250623,17.1659,17.4618,17.087,17.4224,17.49,0.17,0.972,302223.01,530607.726,0.986545
600031.SH,20250624,17.452,17.817,17.4421,17.7578,17.66,0.34,1.9253,474206.42,851657.694,0.986545
600031.SH,20250625,17.8071,17.8269,17.6197,17.7677,18.0,0.01,0.0556,432866.42,777803.023,0.986545
600031.SH,20250626,17.7578,17.8861,17.6296,17.669,18.01,-0.1,-0.5552,397516.12,713448.262,0.986545
600031.SH,20250627,17.5901,17.8466,17.5408,17.6888,17.91,0.02,0.1117,341347.4,612543.948,0.986545
600031.SH,20250630,17.6888,17.7775,17.6394,17.7085,17.93,0.02,0.1115,263715.93,473244.076,0.986545
600031.SH,20250701,17.7085,17.7184,17.4027,17.4914,17.95,-0.22,-1.2256,433345.95,768740.996,0.986545
600031.SH,20250702,17.5605,18.1426,17.4914,17.9551,17.73,0.47,2.6509,722438.96,1310444.888,0.986545
600031.SH,20250703,17.9551,17.965,17.8269,17.9157,18.2,-0.04,-0.2198,300095.68,544368.27,0.986545
600031.SH,20250704,17.9157,18.0538,17.8071,17.9847,18.16,0.07,0.3855,334470.86,609161.924,0.986545
600031.SH,20250707,18.0044,18.1327,17.8565,18.1031,18.23,0.12,0.6583,339773.08,621278.651,0.986545
600031.SH,20250708,18.1524,18.8233,18.113,18.8134,18.35,0.72,3.9237,1054008.44,1993706.646,0.986545
600031.SH,20250709,18.7345,18.9515,18.6358,18.8529,19.07,0.04,0.2098,661952.13,1264486.865,0.986545
600031.SH,20250710,18.8627,19.0107,18.6654,18.6654,19.11,-0.19,-0.9942,636371.63,1212124.453,0.986545
600031.SH,20250711,18.7345,18.843,18.5766,18.5766,18.92,-0.09,-0.4757,484331.56,917451.28,0.986545
600031.SH,20250714,18.5766,18.695,18.4484,18.4879,18.83,-0.09,-0.478,360942.98,679524.719,0.986545
600031.SH,20250715,18.4879,18.695,18.478,18.6457,18.74,0.16,0.8538,432029.47,814099.922,0.986545
600031.SH,20250716,18.5766,18.6358,18.3793,18.4583,18.9,-0.19,-1.0053,327156.32,611643.642,0.986545
600031.SH,20250717,18.4385,18.6852,18.4089,18.5865,18.71,0.13,0.6948,321020.02,605034.59,0.986545
600031.SH,20250718,18.626,18.8134,18.4583,18.7542,18.84,0.17,0.9023,416451.09,787752.266,0.986545
600031.SH,20250721,19.4349,19.5336,18.9811,19.2574,19.01,0.51,2.6828,1237333.02,2410080.135,0.986545
600031.SH,20250722,19.7309,21.1811,19.7309,20.9345,19.52,1.7,8.709,3974293.61,8198561.147,0.986545
600031.SH,20250723,21.1121,21.1121,19.7506,19.8197,21.22,-1.13,-5.3252,2676347.06,5461895.063,0.986545
600031.SH,20250724,19.5435,20.2044,19.4152,20.0762,20.09,0.26,1.2942,1678670.92,3378314.264,0.986545
600031.SH,20250725,20.0071,20.0071,19.5336,19.6618,20.35,-0.42,-2.0639,1104482.25,2200995.01,0.986545
600031.SH,20250728,19.5928,19.721,19.4251,19.7013,19.93,0.04,0.2007,889360.96,1764555.699,0.986545
600031.SH,20250729,19.6816,20.0466,19.5336,19.9282,19.97,0.23,1.1517,945330.74,1904961.848,0.986545
600031.SH,20250730,19.8888,20.165,19.7901,19.9381,20.2,0.01,0.0495,774549.98,1567977.056,0.986545
600031.SH,20250731,19.9282,20.0565,19.5829,19.6717,20.21,-0.27,-1.336,763116.69,1531128.773,0.986545
600031.SH,20250801,19.5829,19.7112,19.4349,19.5139,19.94,-0.16,-0.8024,458851.55,909541.394,0.986545
600031.SH,20250804,19.504,19.6322,19.3462,19.4251,19.78,-0.09,-0.455,445473.39,878332.808,0.986545
600031.SH,20250805,19.4152,19.4744,19.2968,19.3757,19.69,-0.05,-0.2539,522179.69,1026031.688,0.986545
600031.SH,20250806,19.4448,19.7802,19.3757,19.7506,19.64,0.38,1.9348,644222.58,1283837.34,0.986545
600031.SH,20250807,19.7506,20.2242,19.5435,20.0959,20.02,0.35,1.7483,1048648.83,2119222.956,0.986545
